Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,day_of_journey,month_of_journey,count_journey_days,dep_day_part,arrival_day_part,check-in baggage included,In-flight meal,Change airports,Business class,layover,stop_points, AMD , ATQ , BBI , BDQ , BHO , BLR , BOM , CCU , COK , DED , DEL , GAU , GOI , GWL , HBX , HYD , IDR , IMF , ISK , IXA , IXB , IXC , IXR , IXU , IXZ , JAI , JDH , JLR , KNU , LKO , MAA , NAG , NDC , PAT , PNQ , RPR , STV , TRV , UDR , VGA , VNS , VTZ 
IndiGo,2019-04-18,Kolkata,Banglore,20:20,22:55,2.58,0,4174,18,4,0.0,evening,evening,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-06-24,Chennai,Kolkata,11:40,13:55,2.25,0,4667,24,6,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-09,Kolkata,Banglore,21:10,09:20,12.17,1,9663,9,5,1.0,evening,morning,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-04-24,Kolkata,Banglore,17:15,19:50,2.58,0,4804,24,4,0.0,afternoon,evening,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-03-03,Delhi,Cochin,16:40,19:15,26.58,2,14011,3,3,1.0,afternoon,evening,1,1,0,0,0,"[' AMD ', ' BOM ']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiceJet,2019-04-15,Delhi,Cochin,08:45,13:15,4.5,1,5830,15,4,0.0,morning,afternoon,1,1,0,0,0,[' PNQ '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jet Airways,2019-06-12,Delhi,Cochin,14:00,12:35,22.58,1,10262,12,6,1.0,afternoon,afternoon,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-06-12,Delhi,Cochin,20:15,19:15,23.0,2,13381,12,6,1.0,evening,evening,1,1,0,0,0,"[' CCU ', ' BOM ']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-27,Delhi,Cochin,16:00,12:35,20.58,1,12898,27,5,1.0,afternoon,afternoon,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoAir,2019-03-06,Delhi,Cochin,14:10,19:20,5.17,1,19495,6,3,0.0,afternoon,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-04-03,Banglore,Delhi,04:00,06:50,2.83,0,3943,3,4,0.0,mid night,early morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-05-01,Banglore,Delhi,18:55,21:50,2.92,0,4823,1,5,0.0,evening,evening,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-06,Kolkata,Banglore,18:55,08:15,13.33,1,7757,6,5,1.0,evening,morning,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-09,Delhi,Cochin,21:25,12:35,15.17,2,13292,9,6,1.0,evening,afternoon,1,1,0,0,0,"[' IDR ', ' BOM ']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-01,Delhi,Cochin,21:50,03:35,5.75,1,8238,1,6,1.0,evening,mid night,1,1,0,0,0,[' LKO '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GoAir,2019-05-15,Delhi,Cochin,07:00,12:55,5.92,1,7682,15,5,0.0,early morning,afternoon,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-06-18,Banglore,Delhi,09:45,12:35,2.83,0,4668,18,6,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-06-15,Chennai,Kolkata,07:05,09:20,2.25,0,3687,15,6,0.0,early morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-06-18,Chennai,Kolkata,07:05,09:20,2.25,0,3687,18,6,0.0,early morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-01,Kolkata,Banglore,09:50,23:15,13.42,2,13227,1,5,0.0,morning,night,1,1,0,0,0,"[' GAU ', ' DEL ']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-04-06,Banglore,Delhi,04:00,06:50,2.83,0,4423,6,4,0.0,mid night,early morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-15,Delhi,Cochin,14:35,12:35,22.0,2,10919,15,6,1.0,afternoon,afternoon,1,0,0,0,0,"[' NAG ', ' BOM ']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-18,Delhi,Cochin,07:05,12:35,5.5,1,12373,18,5,0.0,early morning,afternoon,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-27,Delhi,Cochin,10:35,21:00,10.42,1,5894,27,6,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiceJet,2019-05-21,Kolkata,Banglore,15:05,20:20,5.25,1,4649,21,5,0.0,afternoon,evening,1,1,0,0,0,[' MAA '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-18,Kolkata,Banglore,14:15,16:45,2.5,0,6245,18,5,0.0,afternoon,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-06,Banglore,New Delhi,07:00,13:15,6.25,1,19225,6,3,0.0,early morning,afternoon,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-03,Delhi,Cochin,07:05,19:00,11.92,1,14924,3,6,0.0,early morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-05-21,Delhi,Cochin,07:05,18:10,11.08,1,9646,21,5,0.0,early morning,evening,1,1,0,0,0,[' HYD '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-03-15,Banglore,New Delhi,06:45,15:15,8.5,1,8714,15,3,0.0,early morning,afternoon,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-18,Delhi,Cochin,20:55,19:00,22.08,1,12373,18,5,1.0,evening,evening,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Asia,2019-05-06,Banglore,Delhi,11:10,13:55,2.75,0,3383,6,5,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-03-21,Delhi,Cochin,09:00,21:00,12.0,1,13062,21,3,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiceJet,2019-03-24,Banglore,New Delhi,05:45,08:35,2.83,0,3527,24,3,0.0,early morning,morning,0,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-05-27,Banglore,Delhi,04:00,06:50,2.83,0,3943,27,5,0.0,mid night,early morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-03,Chennai,Kolkata,11:40,13:55,2.25,0,4667,3,5,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-15,Kolkata,Banglore,19:00,11:05,16.08,1,6117,15,5,1.0,evening,morning,1,1,0,0,0,[' HYD '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-27,Delhi,Cochin,23:05,19:00,19.92,2,11150,27,6,1.0,night,evening,1,0,0,0,0,"[' AMD ', ' BOM ']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-09,Delhi,Cochin,11:00,14:15,3.25,0,7202,9,3,0.0,morning,afternoon,1,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-01,Kolkata,Banglore,09:35,10:55,25.33,1,12121,1,5,1.0,morning,morning,1,1,0,0,0,[' DEL '],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-18,Banglore,Delhi,21:15,00:15,3.0,0,3943,18,6,1.0,evening,mid night,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Asia,2019-04-03,Banglore,Delhi,23:55,02:45,2.83,0,4483,3,4,1.0,night,mid night,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-24,Kolkata,Banglore,19:45,12:00,16.25,1,14231,24,3,1.0,evening,afternoon,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-03-01,Banglore,New Delhi,08:50,23:55,15.08,2,17345,1,3,0.0,morning,night,1,1,0,0,0,"[' BOM ', ' AMD ']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-03-06,Chennai,Kolkata,07:05,09:20,2.25,0,7414,6,3,0.0,early morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-05-06,Delhi,Cochin,19:00,01:30,6.5,1,8073,6,5,1.0,evening,mid night,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-03-06,Mumbai,Hyderabad,15:40,16:45,25.08,1,12395,6,3,1.0,afternoon,afternoon,1,1,0,0,0,[' DEL '],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-06-06,Kolkata,Banglore,09:25,21:50,12.42,1,8366,6,6,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-04-03,Delhi,Cochin,06:05,09:25,27.33,1,5117,3,4,1.0,early morning,morning,1,1,0,0,0,[' MAA '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-06-03,Delhi,Cochin,08:45,19:00,10.25,1,12524,3,6,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-05-15,Delhi,Cochin,15:00,01:30,10.5,1,7191,15,5,1.0,afternoon,mid night,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-05-24,Chennai,Kolkata,07:05,09:20,2.25,0,3687,24,5,0.0,early morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-24,Delhi,Cochin,10:35,21:00,10.42,1,5894,24,6,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-04-24,Banglore,Delhi,09:45,12:35,2.83,0,5403,24,4,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-06,Mumbai,Hyderabad,13:55,15:25,1.5,0,3625,6,5,0.0,afternoon,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-05-21,Delhi,Cochin,05:55,19:15,13.33,2,10861,21,5,0.0,early morning,evening,1,1,0,0,0,"[' BHO ', ' BOM ']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-03-12,Chennai,Kolkata,13:20,15:35,2.25,0,6297,12,3,0.0,afternoon,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05,08:30,1.42,0,5678,1,6,0.0,early morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-06-24,Delhi,Cochin,11:40,19:00,7.33,1,10791,24,6,0.0,morning,evening,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-24,Delhi,Cochin,23:05,12:35,13.5,2,12819,24,6,1.0,night,afternoon,1,1,0,0,0,"[' AMD ', ' BOM ']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-03-21,Delhi,Cochin,05:05,10:05,5.0,1,6893,21,3,0.0,early morning,morning,1,1,0,0,0,[' BLR '],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistara,2019-03-09,Banglore,New Delhi,09:50,12:35,2.75,0,7240,9,3,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoAir,2019-04-03,Banglore,Delhi,11:40,14:30,2.83,0,3898,3,4,0.0,morning,afternoon,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-04-03,Mumbai,Hyderabad,06:25,07:55,1.5,0,4049,3,4,0.0,early morning,early morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-15,Delhi,Cochin,17:30,12:35,19.08,1,10262,15,6,1.0,afternoon,afternoon,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiceJet,2019-03-21,Chennai,Kolkata,08:20,10:35,2.25,0,3332,21,3,0.0,morning,morning,0,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-09,Kolkata,Banglore,21:10,12:00,14.83,1,10844,9,6,1.0,evening,afternoon,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-24,Banglore,New Delhi,19:55,22:35,2.67,0,7229,24,3,0.0,evening,evening,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-05-06,Kolkata,Banglore,06:30,04:40,22.17,1,13941,6,5,1.0,early morning,mid night,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-27,Delhi,Cochin,11:25,21:00,9.58,1,5894,27,6,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-05-18,Delhi,Cochin,09:00,19:00,10.0,1,10197,18,5,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-06,Banglore,New Delhi,14:05,11:25,21.33,1,13712,6,3,1.0,afternoon,morning,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-06-24,Delhi,Cochin,02:00,07:25,5.42,1,5636,24,6,0.0,mid night,early morning,1,1,0,0,0,[' MAA '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-06,Delhi,Cochin,09:40,04:25,18.75,2,13014,6,6,1.0,morning,mid night,1,1,0,0,0,"[' JAI ', ' BOM ']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-04-01,Kolkata,Banglore,08:25,20:45,12.33,1,7064,1,4,0.0,morning,evening,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
